City,Latitude,Longitude,Temperature,Humidity (%),Wind Speed (mph),Cloudiness (%),Country
Pamekasan,-7.16,113.47,83.98,67,14.47,1,ID
Dingle,11.0,122.67,87.91,66,3.8,2,PH
Longyearbyen,78.22,15.64,44.6,87,1.23,40,SJ
Berlevåg,70.86,29.09,53.6,87,1.12,88,NO
Jamestown,42.1,-79.24,72.18,94,4.7,90,US
Olafsvik,64.89,-23.71,48.27,74,28.66,98,IS
Kostyantynivka,48.53,37.71,64.51,68,6.6,100,UA
Matara,5.95,80.54,81.12,84,9.66,100,LK
Contamana,-7.33,-75.02,72.97,85,1.72,3,PE
North Bend,43.41,-124.22,62.6,100,16.11,90,US
Wiang Sa,8.64,99.37,87.94,84,0.65,78,TH
Ostrovnoy,68.05,39.51,53.13,57,3.67,0,RU
Vaini,-21.2,-175.2,78.8,78,8.05,75,TO
Great Yarmouth,52.61,1.73,60.3,99,7.23,68,GB
Provideniya,64.38,-173.3,55.4,71,5.95,90,RU
Lundazi,-12.29,33.18,46.6,82,6.91,19,ZM
Kapaa,22.08,-159.32,82.35,70,9.17,20,US
Chazuta,-6.57,-76.14,73.24,77,0.22,59,PE
Santo Antônio do Içá,-3.1,-67.94,74.3,79,1.7,96,BR
Jumla,29.27,82.18,70.21,59,3.74,61,NP
Udachny,66.42,112.4,66.2,52,11.18,40,RU
Bekhtery,46.25,32.29,68.13,57,8.3,92,UA
Ancud,-41.87,-73.82,49.53,100,12.75,90,CL
San Carlos,9.66,-68.58,72.68,92,1.72,98,VE
Estrela,-28.06,-50.94,49.95,99,4.88,100,BR
Salalah,17.02,54.09,82.4,88,4.7,75,OM
Verkhnedneprovskiy,54.98,33.35,52.11,94,3.31,21,RU
Hasaki,35.73,140.83,66.52,100,10.29,75,JP
Bundaberg,-24.85,152.35,68.0,34,8.05,0,AU
Chulym,55.1,80.96,76.46,83,4.94,1,RU
Rocha,-34.48,-54.33,43.14,93,6.02,0,UY
Bethel,41.37,-73.41,64.71,77,5.82,1,US
Port Hardy,50.7,-127.42,57.2,82,10.29,90,CA
Bredasdorp,-34.53,20.04,44.6,87,6.93,0,ZA
Inverness,57.48,-4.22,58.12,93,11.41,40,GB
Chokurdakh,70.63,147.92,51.13,59,6.17,77,RU
Abu Kamal,34.45,40.92,78.93,39,10.85,0,SY
Souillac,-20.52,57.52,69.8,77,6.93,40,MU
Mokolo,10.74,13.8,70.79,86,1.41,100,CM
Barrow,71.29,-156.79,35.6,74,13.87,90,US
Kalmunai,7.42,81.82,84.54,71,0.81,94,LK
Arrondissement de Saint-Denis,48.92,2.33,61.7,82,2.24,1,FR
Mīrābād,30.44,61.84,87.62,27,20.89,7,AF
Khovd,48.01,91.64,67.57,36,5.06,0,MN
Al Bardīyah,31.76,25.09,72.81,86,13.62,0,LY
Mahibadhoo,3.78,72.97,83.07,75,3.71,100,MV
Ambon City,-3.7,128.18,82.4,83,6.93,75,ID
Kathu,7.92,98.33,86.58,74,2.24,20,TH
Gweta,-20.18,25.23,43.93,76,11.61,0,BW
Kuala Pilah,2.74,102.25,85.42,74,2.24,20,MY
Saint-Philippe,-21.36,55.77,57.88,82,5.82,75,RE
Upernavik,72.79,-56.15,44.35,73,4.79,96,GL
Cape Town,-33.93,18.42,45.39,93,4.7,0,ZA
Thompson,55.74,-97.86,66.2,68,11.41,40,CA
Yuxia,34.06,108.63,73.44,94,4.47,90,CN
Butaritari,3.07,172.79,83.34,71,10.02,100,KI
Kirkland Lake,48.14,-80.04,68.0,94,4.7,1,CA
Arman',59.7,150.17,58.01,77,5.84,95,RU
Santa Fe,-31.63,-60.7,53.01,87,4.0,0,AR
Taksimo,56.34,114.88,56.79,69,4.38,100,RU
Bitung,1.45,125.18,89.6,55,3.36,20,ID
Jaisinghnagar,23.7,81.38,85.53,65,4.23,34,IN
San Ramon,37.78,-121.98,65.7,60,14.99,1,US
Guerrero Negro,27.98,-114.06,67.44,84,15.37,0,MX
Mishelevka,52.86,103.17,67.41,45,2.98,100,RU
Abu Dhabi,24.47,54.37,93.2,56,6.93,1,AE
Angoche,-16.23,39.91,69.51,78,18.88,78,MZ
Mount Isa,-20.73,139.5,73.4,16,8.05,93,AU
Kazlų Rūda,54.77,23.5,53.6,81,1.12,27,LT
Namatanai,-3.67,152.43,84.0,73,3.31,21,PG
Yellowknife,62.46,-114.35,64.2,48,5.82,40,CA
Coyhaique,-45.58,-72.07,32.0,90,4.7,90,CL
Robertsport,6.75,-11.37,76.33,76,7.38,100,LR
Dickinson,29.46,-95.05,83.14,74,4.7,1,US
Laguna,38.42,-121.42,77.13,36,9.17,20,US
Honningsvåg,70.98,25.97,53.6,87,1.12,97,NO
Saint George,37.1,-113.58,98.53,11,10.29,1,US
Natal,-5.79,-35.21,71.6,100,5.82,75,BR
Kavaratti,10.57,72.64,83.25,80,19.42,100,IN
Lompoc,34.64,-120.46,63.43,72,11.41,5,US
Lorengau,-2.02,147.27,86.27,62,3.4,54,PG
Kysyl-Syr,63.9,122.76,68.54,61,5.93,100,RU
Bereda,43.27,-7.54,57.63,100,11.99,100,ES
Pacific Grove,36.62,-121.92,60.28,77,9.17,1,US
Dumas,35.87,-101.97,81.23,65,8.05,40,US
Puerto Escondido,15.85,-97.07,80.82,78,1.68,72,MX
Mount Gambier,-37.83,140.77,55.4,66,12.75,0,AU
Tuktoyaktuk,69.45,-133.04,55.4,71,13.87,20,CA
Whitianga,-36.83,175.7,61.0,85,5.99,100,NZ
Batagay-Alyta,67.8,130.41,46.13,87,2.21,100,RU
Vestmanna,62.16,-7.17,50.0,87,12.75,65,FO
Albert,50.0,2.65,60.03,93,6.93,90,FR
San Martín,-33.08,-68.47,46.4,61,2.24,47,AR
Obo,5.4,26.49,65.61,96,1.63,51,CF
São Filipe,14.9,-24.5,74.55,83,3.31,39,CV
Tuatapere,-46.13,167.68,39.0,83,3.0,48,NZ
Dawlatabad,36.41,64.91,89.58,12,11.72,11,AF
Tezu,27.92,96.17,75.78,87,3.06,100,IN
Puerto Ayora,-0.74,-90.35,68.0,90,1.01,8,EC
Norman Wells,65.28,-126.83,66.2,72,12.75,75,CA
Camacha,33.08,-16.33,68.0,88,9.17,20,PT
Leningradskiy,69.38,178.42,46.98,78,14.65,91,RU
Severo-Kuril'sk,50.68,156.12,54.84,86,1.23,95,RU
Suzun,53.78,82.31,82.56,63,2.66,0,RU
Hualmay,-11.1,-77.61,59.4,83,7.25,15,PE
Lubao,14.92,120.55,90.0,74,1.01,67,PH
Aswān,24.09,32.91,79.66,25,8.25,0,EG
Norwich,52.63,1.3,60.93,87,4.7,47,GB
Varhaug,58.61,5.65,57.0,95,3.0,100,NO
Tavda,58.04,65.27,78.39,65,5.32,0,RU
Bathsheba,13.22,-59.52,82.4,74,13.87,20,BB
Bolbec,49.57,0.47,59.72,93,10.29,90,FR
Kieta,-6.22,155.63,85.51,67,7.56,94,PG
Hoquiam,46.98,-123.89,63.3,82,11.41,90,US
Clyde River,70.47,-68.59,42.8,87,4.7,1,CA
Pareora,-44.49,171.21,43.0,85,10.42,69,NZ
Andenes,69.31,16.12,57.2,87,12.75,100,NO
Touros,-5.2,-35.46,71.6,94,3.36,90,BR
Port Lincoln,-34.73,135.87,62.96,47,14.2,0,AU
Bam,29.11,58.36,89.96,19,14.2,40,IR
Raudeberg,61.99,5.14,58.5,93,17.22,100,NO
Hithadhoo,-0.6,73.08,84.22,72,9.66,94,MV
Pevek,69.7,170.31,39.06,97,3.47,100,RU
Takoradze,4.88,-1.76,73.6,91,8.63,44,GH
Ribeira Grande,38.52,-28.7,69.04,78,9.84,31,PT
Codrington,-38.27,141.97,54.79,68,8.1,0,AU
Deputatsky,69.3,139.9,49.14,53,5.79,68,RU
George,-33.96,22.46,44.6,70,4.7,0,ZA
Krasnosel'kup,65.7,82.47,56.44,64,17.11,1,RU
Lahat,-3.8,103.53,84.79,66,2.35,57,ID
Lagunas,-5.23,-75.68,71.67,95,1.68,85,PE
Broome,42.25,-75.83,69.13,82,11.41,90,US
Ulverstone,-41.15,146.17,53.04,54,5.99,0,AU
Waipawa,-41.41,175.52,51.62,72,3.0,87,NZ
Mahébourg,-20.41,57.7,69.8,77,6.93,40,MU
Sitka,57.05,-135.33,59.0,77,9.17,90,US
Port Shepstone,-30.74,30.45,55.51,37,6.02,0,ZA
Meulaboh,4.14,96.13,83.43,76,2.3,64,ID
Flin Flon,54.77,-101.86,63.7,64,5.17,90,CA
Adilabad,19.67,78.53,80.6,76,11.32,55,IN
Krasnyy Chikoy,50.36,108.75,59.74,48,8.75,62,RU
Santiago del Estero,-27.8,-64.26,54.55,62,4.7,0,AR
Port-Gentil,-0.72,8.78,75.11,83,9.69,99,GA
Ketchikan,55.34,-131.65,60.8,77,5.82,90,US
Freeport,40.66,-73.58,68.97,60,10.29,1,US
Illapel,-31.63,-71.17,57.51,45,2.66,100,CL
Okhotsk,59.38,143.3,58.6,82,8.66,100,RU
Tigil',57.8,158.67,61.63,72,10.11,100,RU
Wuwei,37.93,102.64,81.0,48,4.59,13,CN
Camaná,-16.62,-72.71,60.91,78,4.61,98,PE
Kiunga,-6.12,141.29,83.8,72,3.89,88,PG
Assiut,27.18,31.18,77.0,61,12.75,0,EG
Kashgar,39.45,75.98,73.4,43,4.47,20,CN
Asău,46.43,26.4,54.0,95,4.16,26,RO
Faratsiho,-19.4,46.95,44.28,83,8.9,39,MG
Kimbe,-5.55,150.14,84.61,76,2.73,99,PG
Oriximiná,-1.77,-55.87,75.65,87,3.42,75,BR
Aloleng,16.13,119.78,87.84,66,4.9,33,PH
Ambovombe,-25.17,46.08,63.05,68,9.69,82,MG
Moose Factory,51.26,-80.61,71.6,56,11.41,75,CA
Saryozek,44.36,77.98,87.4,19,6.89,76,KZ
Porto-Novo,6.5,2.6,75.2,94,6.93,20,BJ
Chui,-33.7,-53.46,46.08,93,3.74,0,UY
Yar-Sale,66.83,70.83,56.59,60,4.61,3,RU
Durban,-29.86,31.03,46.89,86,2.24,0,ZA
Ponta do Sol,32.67,-17.1,64.24,82,3.36,20,PT
Alice Springs,-23.7,133.88,60.8,26,8.05,0,AU
Çerkezköy,41.28,28.0,59.0,87,6.93,0,TR
Klaksvík,62.23,-6.59,50.0,87,13.87,86,FO
Fresnillo,23.17,-102.88,66.2,63,6.93,75,MX
Roebourne,-20.78,117.13,76.59,29,3.6,0,AU
Katsuura,35.13,140.3,68.56,94,19.46,75,JP
Raton,36.9,-104.44,62.22,88,8.05,90,US
Castro,-24.79,-50.01,55.62,92,5.03,71,BR
Omboué,-1.57,9.26,71.69,91,3.29,69,GA
Ponta Grossa,-25.09,-50.16,54.27,94,3.98,61,BR
Lata,40.16,-8.33,71.15,88,1.12,85,PT
Telchac Pueblo,21.2,-89.27,83.23,74,6.93,40,MX
Pundaguitan,6.37,126.17,83.34,71,3.47,19,PH
Bonavista,48.65,-53.11,48.0,77,3.0,100,CA
Avera,33.19,-82.53,80.62,83,3.36,1,US
Tomatlán,19.93,-105.25,78.01,89,1.72,100,MX
Carnarvon,-24.87,113.63,64.4,100,17.22,90,AU
Trzcianka,53.04,16.46,51.3,93,4.68,45,PL
The Valley,18.22,-63.06,81.79,78,9.17,40,AI
Port Blair,11.67,92.75,81.23,83,11.99,97,IN
Sibolga,1.74,98.78,85.08,59,3.13,0,ID
Hot Springs,34.5,-93.06,85.77,66,3.36,1,US
Wanganui,-39.93,175.05,53.01,70,17.0,96,NZ
Hachinohe,40.5,141.5,69.8,77,9.17,75,JP
Whitehorse,60.72,-135.05,66.6,45,5.82,75,CA
Prince George,53.92,-122.75,63.73,72,4.7,90,CA
Balikpapan,-1.27,116.83,84.2,83,2.24,40,ID
Pochutla,15.74,-96.47,81.0,86,3.29,44,MX
Barcelos,41.54,-8.62,76.44,69,5.82,44,PT
Gaoual,11.75,-13.2,72.45,95,2.71,89,GN
Qarqīn,37.42,66.04,93.06,11,11.01,65,AF
Alofi,-19.06,-169.92,80.6,69,9.17,40,NU
Peremyshl',54.26,36.16,57.2,93,4.47,97,RU
Kommunisticheskiy,61.68,64.48,76.53,73,3.83,57,RU
Maryville,35.76,-83.97,77.52,78,3.36,40,US
Barreirinha,-2.79,-57.07,73.38,94,1.66,100,BR
Shahr-e Bābak,30.12,55.12,72.97,40,2.82,5,IR
Dakar,14.69,-17.44,78.8,78,2.24,86,SN
Malanje,-9.54,16.34,57.85,35,8.88,0,AO
Yola,9.2,12.48,74.12,89,3.56,100,NG
Husavik,66.04,-17.34,48.2,87,23.04,90,IS
Biak,-0.91,122.88,82.31,69,3.98,94,ID
Iqaluit,63.75,-68.51,48.09,76,3.36,75,CA
Biltine,14.53,20.92,80.49,63,12.12,96,TD
Goshāinganj,26.58,82.38,90.1,64,9.66,1,IN
Tawang Town,27.58,91.87,64.83,69,4.09,96,IN
Zarubino,42.63,131.09,67.86,87,7.63,97,RU
Grootfontein,-19.57,18.12,40.12,71,10.27,0,NA
Praia,14.92,-23.51,77.0,73,12.75,75,CV
Arteaga,18.47,-102.42,66.88,98,2.84,40,MX
Banjar,-8.19,114.97,82.4,88,10.29,40,ID
Mbalmayo,3.52,11.5,69.8,100,2.24,20,CM
Port Hedland,-20.32,118.57,78.8,11,8.05,0,AU
Kapra,17.48,78.56,75.31,94,5.82,40,IN
Lavrentiya,65.58,-171.0,52.59,75,3.74,100,RU
Kindu,-2.95,25.95,69.01,91,0.2,72,CD
Gubkinskiy,64.43,76.5,57.15,60,6.87,1,RU
Jinka,5.65,36.65,62.55,80,3.65,100,ET
Saskylakh,71.92,114.08,47.55,80,15.66,100,RU
Ossora,59.24,163.07,58.33,89,5.01,93,RU
Concepción,-36.83,-73.05,53.6,87,20.8,90,CL
Oleksandrivka,46.84,32.76,66.74,63,7.11,95,UA
Pokhara,28.23,83.98,72.91,87,1.14,99,NP
Hofn,64.25,-15.21,51.67,87,16.82,98,IS
Santiago,-33.46,-70.65,46.4,93,1.12,75,CL
Colinas,-6.03,-44.25,75.4,52,4.14,0,BR
Iwaki,37.05,140.88,69.75,84,1.99,100,JP
Port-Cartier,50.03,-66.87,61.93,63,6.93,75,CA
La Paz,-16.5,-68.15,33.8,86,8.05,6,BO
Killybegs,54.63,-8.45,57.99,96,3.0,100,IE
Techiman,7.59,-1.94,69.26,96,3.96,100,GH
Coquimbo,-29.95,-71.34,48.2,100,11.41,35,CL
Senador José Porfírio,-2.59,-51.95,74.1,90,2.73,5,BR
Flinders,-34.58,150.86,60.73,61,8.99,27,AU
Preobrazheniye,42.9,133.91,72.36,69,12.39,1,RU
Esim,4.87,-2.24,73.69,91,7.45,27,GH
Kaitangata,-46.28,169.85,46.99,58,8.01,30,NZ
Tiksi,71.69,128.87,39.94,81,24.58,97,RU
Najrān,17.49,44.13,86.0,40,8.05,40,SA
Dondo,-19.61,34.74,64.2,82,11.41,75,MZ
Saint Anthony,45.02,-93.22,77.61,57,11.41,20,US
Parabel',58.7,81.48,64.13,61,5.23,0,RU
Dubti,11.74,41.09,86.36,44,16.8,98,ET
Yangi Marg`ilon,40.43,71.72,80.6,28,4.7,100,UZ
Vilnius,54.69,25.28,55.2,76,2.24,22,LT
Mossamedes,-15.2,12.15,70.29,37,9.4,0,AO
Cap Malheureux,-19.98,57.61,66.99,81,4.0,1,MU
Hong Kong,22.29,114.16,87.89,73,5.99,97,HK
Sakaiminato,35.55,133.23,77.0,73,14.99,20,JP
Mehamn,71.04,27.85,53.6,87,1.12,88,NO
Kenai,60.55,-151.26,62.28,72,14.99,20,US
Lüderitz,-26.65,15.16,77.0,13,24.16,0,NA
Venice of the Philippines,4.66,119.39,82.78,68,3.27,100,PH
Lüshunkou,38.8,121.27,80.6,69,8.95,78,CN
Kloulklubed,7.04,134.26,86.0,70,8.05,75,PW
Santa Inês,-3.67,-45.38,71.8,93,2.86,0,BR
Progreso,21.28,-89.67,83.23,74,6.93,40,MX
Taoudenni,22.68,-3.98,94.28,27,7.83,15,ML
Bairiki Village,1.33,172.98,87.8,70,9.17,75,KI
Lopatino,52.62,45.81,59.61,79,1.41,7,RU
São Félix do Xingu,-6.64,-51.99,72.79,69,1.66,0,BR
Bacalar,18.67,-88.38,78.91,86,4.54,3,MX
Alekseyevka,50.63,38.69,58.8,84,3.47,86,RU
Mar del Plata,-38.0,-57.56,43.57,86,2.24,0,AR
Alihe,50.57,123.72,89.53,41,5.37,13,CN
Makakilo City,21.35,-158.09,85.68,70,13.87,20,US
Dire Dawa,9.59,41.87,68.65,60,19.48,95,ET
Airai,-8.93,125.41,73.18,58,3.6,0,TL
Kahama,-3.83,32.6,57.34,51,7.9,100,TZ
Esperance,-33.87,121.9,51.8,100,17.22,75,AU
Rio Grande,-32.03,-52.1,46.99,97,6.89,1,BR
Tanout,14.97,8.89,85.5,47,13.91,25,NE
Egvekinot,66.32,-179.17,57.24,73,5.66,73,RU
Cassilândia,-19.11,-51.73,68.36,45,2.91,0,BR
Boueni,-12.9,45.08,77.0,73,20.8,40,YT
San Juan de los Morros,9.91,-67.35,69.57,92,1.72,67,VE
Tipitapa,12.2,-86.1,84.2,66,11.41,3,NI
Pangnirtung,66.15,-65.71,63.1,33,4.14,43,CA
Darnah,32.77,22.64,74.61,85,16.87,3,LY
Kirakira,-10.45,161.92,82.81,75,10.58,7,SB
Oranjemund,-28.55,16.43,63.45,30,18.14,0,NA
Hamilton,39.18,-84.53,74.59,73,5.82,1,US
Valencia,39.33,-0.83,70.27,88,4.0,0,ES
Tulsīpur,28.13,82.3,80.01,88,4.16,26,NP
Praia da Vitória,38.73,-27.07,68.0,88,10.33,75,PT
Nouadhibou,20.93,-17.03,69.8,88,6.93,75,MR
Beni,0.5,29.47,61.03,98,2.01,100,CD
Faya,18.39,42.45,68.9,49,10.69,45,SA
Auki,-8.77,160.7,86.2,66,7.85,78,SB
Shitanjing,39.23,106.34,77.88,36,8.99,49,CN
Ciudad Juárez,31.73,-106.48,93.83,13,14.52,75,MX
Yulara,-25.24,130.99,60.8,29,10.29,0,AU
Verkhnevilyuysk,63.45,120.32,59.81,88,6.13,100,RU
Krasnoslobodsk,48.71,44.57,71.31,46,11.18,100,RU
Potsdam,52.4,13.07,52.59,94,5.1,0,DE
Itoman,26.12,127.67,78.24,94,14.99,75,JP
Isangel,-19.55,169.27,80.6,69,6.93,18,VU
Ola,59.58,151.28,55.83,83,11.45,78,RU
Fortuna,40.6,-124.16,59.11,93,9.17,90,US
Goderich,43.75,-81.72,67.66,85,6.55,7,CA
Kumul,42.8,93.45,86.32,22,10.69,23,CN
Sena Madureira,-9.07,-68.66,73.71,77,1.14,0,BR
Fairbanks,64.84,-147.72,66.51,52,4.7,20,US
Tura,25.52,90.22,80.15,91,5.95,99,IN
Kajaani,64.23,27.73,51.8,87,2.24,0,FI
Goma,-1.68,29.22,61.39,70,2.64,83,CD
Mazyr,52.05,29.25,56.46,82,3.13,60,BY
Cantagalo,-21.98,-42.37,58.91,93,0.78,83,BR
Boca do Acre,-8.75,-67.4,73.74,74,0.4,0,BR
Sainte-Rose,16.33,-61.7,78.8,74,4.7,15,GP
Bubaque,11.28,-15.83,78.37,87,19.22,100,GW
Lagoa,39.05,-27.98,68.95,80,10.76,100,PT
Birao,10.28,22.79,69.13,95,3.74,91,CF
Wewak,-3.55,143.63,84.34,67,4.92,16,PG
Sztum,53.92,19.03,57.99,91,1.9,100,PL
Bambous Virieux,-20.34,57.76,68.47,77,6.93,40,MU
Acajutla,13.59,-89.83,78.01,83,1.01,47,SV
Maïné Soroa,13.21,12.02,80.62,65,12.12,89,NE
Ixtapa,20.7,-105.2,78.51,94,3.36,90,MX
Konstantinovka,49.62,127.98,86.45,49,10.63,97,RU
Tot'ma,59.97,42.76,56.8,95,4.68,78,RU
Agadez,19.75,10.25,86.13,35,4.05,35,NE
Saraland,30.82,-88.07,79.03,79,4.0,23,US
Narsaq,60.92,-46.05,55.4,35,8.05,22,GL
Amga,60.9,131.96,85.89,32,6.49,2,RU
Kutum,14.2,24.67,74.95,61,10.71,93,SD
Faanui,-16.48,-151.75,77.59,81,10.96,5,PF
Srednekolymsk,67.45,153.68,45.68,87,8.19,100,RU
Kutina,45.48,16.78,60.8,93,4.7,75,HR
Bandarbeyla,9.49,50.81,80.71,59,32.64,91,SO
Itarema,-2.92,-39.92,77.45,82,12.5,0,BR
Walvis Bay,-22.96,14.51,62.6,18,12.75,0,NA
Atar,20.52,-13.05,83.59,38,5.86,1,MR
Marzuq,14.4,46.47,81.77,40,8.55,100,YE
Cacequi,-29.88,-54.83,47.89,97,8.19,65,BR
Palmer,42.16,-72.33,64.42,72,4.7,90,US
Clifton,40.86,-74.16,69.26,68,9.17,1,US
Hattiesburg,31.33,-89.29,79.29,83,4.12,1,US
Nizhniy Odes,63.64,54.86,63.19,87,6.02,100,RU
Dikson,73.51,80.55,41.25,94,5.61,30,RU
North Platte,41.12,-100.77,81.07,61,9.17,1,US
Deer Lake,49.17,-57.43,49.66,71,3.04,0,CA
Saint-Augustin,51.23,-58.65,62.19,57,8.81,12,CA
Rock Springs,41.59,-109.2,77.0,20,16.11,1,US
San Buenaventura,27.08,-101.53,91.56,33,12.57,4,MX
Mwandiga,-4.83,29.66,68.38,47,8.57,99,TZ
Siuna,13.73,-84.78,72.86,94,2.42,100,NI
Kalakamati,-20.59,27.31,39.02,91,9.13,0,BW
Yelizovo,53.19,158.38,66.2,77,15.66,20,RU
Conakry,9.54,-13.68,77.32,83,11.43,100,GN
Aksu,41.12,80.26,85.64,26,3.44,81,CN
Yumen,40.28,97.2,71.46,39,9.93,96,CN
Benicarló,40.42,0.43,61.45,72,3.0,56,ES
Bilibino,68.05,166.44,56.14,72,2.93,92,RU
Half Moon Bay,37.46,-122.43,62.62,82,4.03,90,US
Florida,28.75,-82.5,77.0,88,3.36,40,US
Constitución,-35.33,-72.42,52.93,90,9.28,100,CL
Chivay,-15.64,-71.6,47.39,47,0.89,0,PE
Santa Rita,-7.11,-34.98,69.75,91,8.28,3,BR
Cabedelo,-6.98,-34.83,74.26,84,13.42,24,BR
Nipawin,53.37,-104.0,66.2,72,3.36,1,CA
Sørland,67.67,12.69,55.11,91,13.96,100,NO
Manta,-0.95,-80.73,73.27,87,8.52,65,EC
Urdoma,61.75,48.54,63.05,86,2.68,89,RU
Oistins,13.07,-59.53,82.4,74,13.87,20,BB
Graham,47.05,-122.29,72.73,57,9.17,40,US
Paita,-5.09,-81.11,62.49,83,9.44,6,PE
Batemans Bay,-35.72,150.18,61.0,52,3.0,0,AU
Champerico,14.3,-91.92,81.64,75,5.84,22,GT
Camocim,-2.9,-40.84,76.69,81,11.92,0,BR
Huambo,-12.78,15.74,44.02,59,4.41,0,AO
Noumea,-22.28,166.46,77.0,41,12.75,0,NC
Nhulunbuy,-12.23,136.77,84.2,48,11.41,0,AU
Shubarkuduk,49.14,56.49,85.98,23,8.86,0,KZ
Meadow Lake,34.8,-106.54,77.49,41,27.51,75,US
Brae,60.4,-1.35,51.8,100,14.99,100,GB
Nanortalik,60.14,-45.24,48.27,62,6.26,2,GL
Cabo San Lucas,22.89,-109.91,82.78,45,12.75,5,MX
Vila do Maio,15.13,-23.22,77.0,73,12.75,75,CV
Vao,-22.67,167.48,69.24,63,16.91,0,NC
Shirokiy,49.76,129.52,81.57,77,7.36,100,RU
Calabozo,8.92,-67.43,74.25,93,1.3,97,VE
Cidreira,-30.18,-50.21,57.72,92,15.12,100,BR
Mayo,38.89,-76.51,76.87,78,14.99,75,US
Haines Junction,60.75,-137.51,65.28,42,8.37,38,CA
Pangody,65.85,74.49,57.67,57,5.59,0,RU
Kamenka,51.32,42.77,60.01,75,1.99,74,RU
Ratnagiri,16.98,73.3,79.32,88,15.95,100,IN
Bodden Town,19.28,-81.25,83.05,83,7.0,11,KY
Roman,46.92,26.92,54.88,100,2.24,1,RO
Havre-St-Pierre,50.23,-63.6,59.0,62,4.7,90,CA
São João da Barra,-21.64,-41.05,68.13,71,4.81,87,BR
Villa María,-32.41,-63.24,46.99,68,3.0,46,AR
Forsytheganj,52.63,29.73,54.88,83,2.19,0,BY
Vostok,46.49,135.88,80.29,49,6.64,0,RU
Naliya,23.27,68.83,87.04,74,4.85,43,IN
Aksaray,38.37,34.03,66.2,72,5.82,8,TR
Toora-Khem,52.47,96.11,52.61,80,1.5,100,RU
