City,Latitude,Temperature,Humidity (%),Wind Speed (mph),Cloudiness (%)
cherdyn,60.4,80.4,50,10.13,7
pitimbu,-7.47,74.25,80,6.71,8
narsingi,18.03,79.34,83,6.93,75
strezhevoy,60.73,66.2,52,8.95,40
oistins,13.07,80.6,83,12.75,40
chicama,-7.84,62.42,84,4.16,17
soloneshnoye,51.65,67.64,82,6.67,97
wagar,16.15,91.33,39,18.52,25
synya,65.37,69.13,39,3.18,84
soyo,-6.13,69.8,94,5.03,20
sao filipe,14.9,77.52,83,3.0,72
kautokeino,69.01,56.68,55,10.6,65
amapa,1.0,69.66,98,1.99,9
perigueux,45.18,63.36,77,5.82,100
garowe,8.41,86.22,41,28.21,81
khor,47.89,77.34,81,5.55,58
saint anthony,45.02,77.25,61,14.99,75
ouesso,1.61,73.85,87,3.36,100
sambava,-14.27,75.61,60,9.46,10
reichenau,50.91,63.64,59,1.99,0
barkhan,29.9,93.33,30,6.96,0
la colorada,8.02,74.5,93,2.71,100
port-cartier,50.03,58.15,82,3.36,90
opuwo,-18.06,60.46,29,6.87,0
ihosy,-22.4,68.99,50,4.41,0
benguela,-12.58,62.6,93,3.36,40
humberto de campos,-2.6,73.4,94,3.42,2
kalengwa,-13.47,64.74,46,4.65,0
sofiyivka,48.05,62.6,67,17.9,90
olinda,-8.01,71.6,94,7.78,40
genoa,44.41,72.52,53,12.75,20
nanortalik,60.14,42.89,93,6.44,100
miedzychod,52.6,65.64,59,3.36,1
bayonet point,28.33,81.07,81,8.39,3
mahajanga,-15.72,80.6,44,10.29,0
troitskoye,52.98,75.99,65,8.61,100
ostersund,63.18,53.6,66,3.36,100
srivardhan,18.03,78.48,91,6.02,100
aviles,43.55,61.25,87,5.82,40
emba,48.83,93.4,19,14.92,0
sangmelima,2.93,69.78,88,3.74,100
luwingu,-10.26,65.59,51,7.61,0
ludza,56.55,62.06,57,6.73,0
richards bay,-28.78,68.31,54,13.4,41
tome,-36.62,42.8,87,5.82,0
hun,29.13,74.57,65,2.68,2
tessalit,20.2,90.21,22,20.94,36
pimenta bueno,-11.67,71.83,77,2.95,0
rosetta,31.4,80.6,69,6.93,40
shieli,44.17,101.46,12,23.22,0
lima,-12.04,59.0,87,6.93,90
panara,22.07,84.4,69,7.49,48
qaqortoq,60.72,46.4,81,3.36,100
atar,20.52,87.19,22,9.95,0
adiake,5.29,77.0,88,9.17,40
reading,51.46,60.22,100,4.7,100
arlit,18.74,90.27,39,8.14,36
puerto madryn,-42.77,35.82,81,12.59,0
kaoma,-14.78,64.53,44,5.37,0
nata,8.33,73.0,76,2.75,100
methoni,36.82,81.34,57,5.82,40
lokosovo,61.13,63.63,55,10.02,96
havelock,34.88,73.38,88,2.8,1
oudtshoorn,-33.59,44.6,81,23.04,90
sechura,-5.56,63.64,84,10.65,67
mirnyy,62.54,80.6,32,2.24,40
mahabad,36.76,79.48,39,5.86,0
fethiye,36.62,87.8,52,6.93,0
taoudenni,22.68,97.93,12,4.65,0
inhambane,-23.86,64.2,63,4.7,0
itapemirim,-21.01,69.01,68,5.03,0
cruzeiro do sul,-29.51,39.02,98,2.46,0
bonthe,7.53,75.69,90,11.1,100
vestmanna,62.16,48.2,100,6.93,91
salalah,17.02,80.6,100,10.29,90
beyneu,45.32,104.36,13,14.94,2
rio grande,-32.03,35.01,91,14.52,0
abu samrah,35.3,88.48,33,7.54,0
naryan-mar,67.67,54.39,65,5.32,80
escanaba,45.75,60.46,87,5.82,1
jardim,-21.48,68.52,92,5.77,72
itapetininga,-23.59,62.8,91,6.08,50
skagen,57.72,57.2,93,16.11,90
ercis,39.03,69.8,60,5.82,20
urumqi,43.8,84.2,26,8.95,19
luanda,-8.84,68.0,100,1.12,75
robertsport,6.75,75.15,92,15.01,100
halmeu,47.97,61.11,67,5.82,0
oranjestad,12.52,82.4,83,17.22,20
santa maria,-29.68,38.88,87,2.3,0
klaksvik,62.23,48.2,100,6.93,99
prado,-17.34,68.49,89,4.21,100
thornhill,55.23,54.77,76,8.05,75
macusani,-14.08,32.99,92,3.18,21
bawku,11.06,75.47,85,14.25,100
barcelos,41.54,70.83,63,6.93,48
ajdabiya,30.76,83.7,44,11.14,0
the valley,18.22,81.46,78,11.41,20
la libertad,-2.23,68.52,86,9.35,91
grindavik,63.84,50.0,93,6.93,75
krosno odrzanskie,52.05,68.14,59,3.36,1
zverinogolovskoye,54.46,83.62,47,4.43,88
marolambo,-20.05,74.03,55,1.99,0
manaure,11.78,80.4,77,17.27,7
mungwi,-10.17,65.84,51,6.82,22
chibombo,-14.66,67.6,40,4.9,0
itaqui,-29.13,40.53,86,6.89,0
baltay,52.47,87.69,41,14.81,0
basoko,1.24,72.84,90,2.35,100
bangsund,64.4,50.0,81,10.29,100
cleveland,41.5,63.16,64,4.7,1
pangoa,-12.12,64.87,96,2.71,18
fiumicino,41.77,73.15,46,5.82,0
sao joao da barra,-21.64,70.48,71,7.99,7
coihaique,-45.58,29.64,95,1.59,100
statesboro,32.45,76.51,78,5.86,40
juli,-16.22,31.77,97,2.89,0
cacoal,-11.44,72.28,77,3.22,0
lithakia,37.72,77.0,69,8.81,20
pachmarhi,22.47,82.29,71,6.26,90
havre-saint-pierre,50.23,53.6,71,9.17,90
maragogi,-9.01,73.65,84,7.14,9
beloha,-25.17,70.14,59,4.85,0
mudbidri,13.08,77.0,94,4.7,75
annau,37.89,95.0,26,11.41,75
buraydah,26.33,98.6,29,18.34,0
san jose de guanipa,8.89,75.51,87,9.1,100
axim,4.87,75.24,84,11.3,48
shaki,41.08,80.69,57,10.29,90
canutama,-6.53,71.01,96,0.34,99
neuquen,-38.95,28.4,100,2.21,41
iskateley,67.68,54.3,65,5.35,74
aktash,50.3,44.31,96,4.7,100
sandnessjoen,66.02,53.38,81,4.7,0
kondinskoye,59.65,78.67,43,1.01,2
antalaha,-14.9,75.96,62,7.14,86
duma,34.77,73.4,88,11.18,90
sandwick,60.0,51.8,100,14.99,75
puerto leguizamo,-0.19,69.87,98,1.81,33
shalyhyne,51.57,57.63,91,13.85,100
sao jose da coroa grande,-8.9,74.25,83,6.89,7
inverness,57.48,55.31,81,10.29,75
santarem,-2.44,75.2,94,3.36,17
santa marta,11.24,79.34,78,13.82,3
paamiut,61.99,40.96,92,12.03,4
bahia blanca,-38.72,35.24,77,7.78,10
mayumba,-3.43,72.03,83,0.54,28
mathathane,-22.27,60.37,31,10.36,0
marawi,8.0,84.0,79,7.0,77
oromocto,45.84,65.89,100,5.82,90
hamilton,39.18,65.88,93,3.29,1
kidal,18.44,85.15,51,16.58,4
kochi,9.94,87.8,62,13.87,40
ambovombe,-25.17,70.86,61,2.46,0
gazli,40.13,103.24,9,8.14,0
mundi,22.07,91.83,53,8.81,98
touros,-5.2,68.0,94,4.7,2
corn island,12.17,81.93,80,17.94,100
zlitan,32.47,79.18,62,1.14,0
saint-leu,-21.15,74.14,61,4.7,8
saint-augustin,51.23,50.4,89,13.82,100
nikolayevka,53.13,86.68,47,13.82,27
klyuchi,52.27,80.35,39,12.57,33
praia da vitoria,38.73,64.4,93,7.25,20
kathu,7.92,84.2,79,8.05,40
karlstad,59.38,57.4,87,5.82,100
westport,41.14,70.84,69,6.93,20
abonnema,4.71,76.35,86,8.9,100
ergani,38.27,82.33,41,4.7,1
kedgwick,47.64,50.99,98,4.25,62
mehran,33.12,91.4,15,2.24,0
bay roberts,47.6,61.21,1,9.22,100
zavyalovo,54.51,77.0,50,6.71,20
ocala,29.19,75.85,100,3.36,1
bosaso,11.28,96.8,37,19.46,40
san miguel,13.48,73.2,93,2.71,93
bandar-e lengeh,26.56,96.8,63,13.87,0
izhma,65.01,59.31,59,5.12,100
jacqueville,5.21,77.0,88,9.17,40
kemijarvi,66.71,51.58,92,8.86,100
dosso,13.05,77.86,80,14.92,97
gonen,40.1,73.4,56,24.16,40
harper,4.38,75.24,84,12.06,100
mount darwin,-16.77,67.96,43,2.51,0
narasannapeta,18.42,87.66,67,10.07,100
oksfjord,70.24,55.35,71,14.99,0
borodyanka,50.64,60.8,63,13.42,0
mounana,-1.41,69.8,100,2.24,90
dragor,55.59,62.71,77,9.17,100
yining,29.04,89.74,72,3.65,97
zhanaozen,43.3,102.43,11,15.79,0
meulaboh,4.14,86.29,64,6.78,79
moroni,-11.7,79.56,59,4.5,0
mazyr,52.05,62.74,63,13.15,6
margate,51.38,61.75,89,1.99,100
piacabucu,-10.41,73.36,88,5.75,60
balod,20.73,80.64,76,7.07,99
shipunovo,52.16,75.85,61,12.33,100
buchanan,5.88,75.2,94,4.7,75
manoel urbano,-8.84,70.72,95,0.34,43
jerez,14.1,66.36,96,2.19,64
bridgewater,44.38,67.03,97,1.74,99
hurghada,27.26,89.6,46,6.93,21
inndyr,67.03,60.91,63,10.29,20
leh,34.17,66.7,23,7.47,2
mogadishu,2.04,78.8,69,12.75,75
storforshei,66.4,53.82,71,3.36,75
tazovskiy,67.47,45.27,86,19.8,100
gao,16.64,85.64,52,13.02,0
bandarbeyla,9.49,87.44,48,26.91,100
biu,10.61,71.55,90,13.18,100
masindi,1.67,73.76,76,1.54,63
pascagoula,30.37,74.77,94,6.08,1
beterou,9.2,70.75,95,6.8,100
saint-joseph,-21.37,73.99,61,4.7,22
guasdualito,7.24,71.78,95,2.89,30
kansanshi,-12.1,65.23,46,7.34,0
novyy yegorlyk,46.39,80.96,53,15.86,96
bilma,18.69,94.5,21,10.78,12
tchollire,8.4,73.56,94,2.57,100
port-gentil,-0.72,75.2,94,14.9,90
takoradi,4.88,74.77,86,11.12,49
talnakh,69.49,55.4,76,13.42,75
peniche,39.36,65.71,82,8.01,0
iberia,29.95,79.95,88,8.84,1
anopino,55.7,66.94,89,9.84,100
kolchugino,56.3,66.74,79,11.61,87
mangrol,21.12,85.28,76,18.23,92
sakakah,29.97,91.4,18,4.7,0
kyshtovka,56.55,75.18,59,11.9,34
san rafael,-34.62,40.15,70,4.94,63
garissa,-0.45,84.04,48,20.0,55
san felipe,10.34,72.9,92,0.85,80
solginskiy,61.05,58.59,90,4.41,100
vorozhba,51.17,57.11,94,12.95,100
antofagasta,-23.65,51.8,87,3.36,0
morant bay,17.88,80.94,74,5.82,20
montalvo,-1.8,70.81,79,1.05,100
nizwa,22.93,99.66,29,5.44,0
coquimbo,-29.95,46.4,100,4.7,2
outjo,-20.12,58.01,26,7.38,0
rey bouba,8.67,75.54,92,0.25,100
eatonton,33.33,73.31,91,3.69,13
pudozh,61.81,68.27,56,2.48,10
carnarvon,-24.87,75.2,57,12.75,40
kiryas joel,41.34,65.34,88,3.74,40
shahr-e babak,30.12,87.78,12,6.87,0
abalak,58.13,82.17,40,2.3,9
jaque,7.52,77.88,82,3.83,99
columbus,39.96,66.24,68,3.36,20
qeshm,26.96,97.68,63,18.34,75
malakal,9.53,82.9,67,4.76,0
olden,61.84,52.7,93,2.24,75
mhlume,-26.03,66.2,19,10.29,0
pitkyaranta,61.57,60.19,64,7.52,0
blatec,41.84,64.0,62,2.17,60
kattivakkam,13.22,87.8,66,5.82,75
tatawin,32.93,77.0,50,3.62,0
san cosme y damian,-27.32,45.45,84,7.25,0
calatayud,41.35,60.62,77,3.36,100
biltine,14.53,89.29,34,3.83,6
geraldton,-28.77,66.2,55,13.87,90
kutum,14.2,80.53,48,4.27,0
posse,-14.09,61.11,47,2.95,0
zajecar,43.9,60.01,80,1.99,5
storslett,69.77,57.2,82,4.7,0
mantua,45.17,70.0,61,3.0,0
pirot,43.15,59.65,67,1.12,0
san luis,-33.3,41.02,68,7.16,3
arrifes,37.77,64.4,82,5.82,20
comodoro rivadavia,-45.87,35.6,80,14.99,0
san cristobal,7.77,64.27,88,4.05,40
vallenar,-28.57,55.35,61,0.6,0
vorobyevka,50.65,74.43,75,16.24,100
carpentras,44.08,73.4,38,5.82,86
turayf,31.67,84.2,45,16.11,0
pangnirtung,66.15,50.68,56,4.65,3
sinnamary,5.38,76.69,86,5.88,22
la cruz,23.92,82.99,89,1.99,95
cockburn town,21.46,82.42,84,20.02,66
ust-shonosha,61.15,58.51,90,4.16,100
vasterhaninge,59.12,61.75,77,4.7,98
alappuzha,9.49,83.44,72,10.96,100
port blair,11.67,83.21,76,15.57,94
poretskoye,55.2,82.6,62,12.86,0
sioux lookout,50.1,64.4,88,14.99,75
hit,33.64,100.47,18,8.43,0
nalut,30.33,78.82,34,15.32,0
hauknes,66.28,53.98,71,3.36,75
friesach,46.96,56.89,72,2.24,20
mpika,-11.83,65.12,49,8.79,0
adre,13.47,81.5,56,7.38,0
florianopolis,-27.61,55.4,62,10.29,75
koutiala,12.39,72.86,90,14.36,100
ouahigouya,13.58,79.23,67,2.91,100
kamra,33.75,98.6,42,4.7,0
bentiu,9.23,81.7,71,4.72,49
elk,53.83,55.45,85,4.79,100
ordu,40.91,71.6,100,6.93,75
toamasina,-18.17,75.2,2,3.36,20
pampas,-12.4,46.58,76,1.3,86
polunochnoye,60.87,75.0,45,7.65,56
grand-santi,4.25,70.02,96,1.28,4
dordrecht,51.81,62.28,82,1.01,100
saint pete beach,27.73,82.99,83,4.7,1
milici,44.17,56.62,87,2.24,4
arras,50.29,61.0,83,1.99,100
sandomierz,50.68,63.0,76,1.01,0
idah,7.11,73.54,94,3.22,100
iracoubo,5.48,75.92,87,5.39,64
kashi,39.45,80.6,32,4.47,91
mitu,1.2,70.09,97,0.69,64
virginia beach,36.85,73.58,83,5.82,20
mehamn,71.04,46.4,87,8.05,75
esna,25.29,89.6,35,7.96,0
mosetse,-20.75,60.49,27,1.63,0
esik,43.36,81.3,22,9.01,96
sinazongwe,-17.26,64.87,47,5.73,0
puerto colombia,10.99,80.6,94,2.24,20
bogovinje,41.92,66.2,45,1.12,20
punta gorda,26.93,80.94,83,3.36,1
alexandria,31.22,80.6,69,6.93,40
mgandu,-5.95,67.17,55,10.76,0
mitsamiouli,-11.38,78.62,66,9.73,4
el ejido,36.78,78.01,50,2.24,0
tarqui,2.11,65.48,79,2.64,29
balad,34.02,105.12,12,8.32,0
beloit,42.51,65.66,77,6.93,1
